1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74
12936;12214;722;7657;5762;16948;18013;2297;43020;9288;8043;7250;6466;6269;14;4;12;4;11;2;10;0;11;2;647308;7204;6856;6955;6941;8544;11;2;10;6;10;7;10;7;10;7;2084;1187;295;-475;-2275;97177;7465;884;1566;1618;983;12233;459;454;6652;7465;23761;2827;443;288;8759;8145;614;4638;556;681;15002;14264;738;8478;7534;10155;3586;0
4150;4047;103;0;842;2719;3030;395;6986;1909;1680;1479;1424;1440;15;8;13;8;12;1;11;7;12;2;121704;1260;1170;1265;1290;1424;10;5;9;6;10;4;10;6;10;6;649;510;214;134;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1778;2325;-547;0;1527;3968;3977;586;10058;2035;1747;1611;1440;1369;16;2;13;8;12;7;11;3;12;6;127364;1428;1380;1367;1383;1687;11;4;10;9;10;8;10;8;10;9;607;367;244;57;-318;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2656;2215;441;0;1044;3565;3517;394;8520;1494;1249;1122;1008;954;11;1;9;2;8;3;7;5;8;4;134129;1518;1437;1431;1450;1809;11;2;10;6;10;6;10;8;10;8;-24;-188;-309;-442;-855;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2575;1580;995;0;1208;3425;3798;495;8926;2097;1885;1623;1392;1356;16;6;14;9;12;8;11;0;12;8;126637;1524;1504;1493;1414;1853;12;1;11;9;11;8;11;2;11;2;573;381;130;-22;-497;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1777;2047;-270;0;1141;3271;3691;427;8530;1753;1482;1415;1202;1150;12;8;10;8;10;3;8;7;10;3;137474;1474;1365;1399;1404;1771;10;7;9;9;10;2;10;2;10;2;279;117;16;-202;-621;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2061;1979;82;421;880;2066;2741;357;6044;1289;1084;977;882;874;13;1;11;1;10;0;9;1;10;1;97052;1232;1240;1182;1228;1338;12;6;12;7;12;1;12;6;12;7;57;-156;-205;-346;-464;12246;1327;118;86;397;161;1795;120;95;1167;1327;4146;671;113;37;2042;1911;131;656;84;40;2104;2005;99;1327;1199;1753;469;237
2481;2143;338;631;1261;3023;2238;402;6924;976;818;801;651;656;10;4;8;8;8;6;7;0;8;7;92127;1262;1207;1158;1221;1400;13;5;12;9;12;5;13;2;13;3;-286;-389;-357;-570;-744;11314;938;222;;353;195;2267;389;48;861;939;2993;280;15;2;872;796;76;659;14;16;2121;1955;166;939;821;727;297;48
848;944;-96;656;503;1170;1345;204;3222;686;557;520;462;446;13;8;11;3;10;6;9;4;10;6;48868;590;558;505;539;581;11;9;11;3;10;3;11;0;11;0;96;-1;15;-77;-135;7189;950;168;80;84;91;2450;126;28;874;946;3085;334;13;7;1039;937;102;612;23;11;2046;1950;96;946;650;951;214;46
1487;1588;-101;953;1535;3482;4403;478;9898;1122;992;929;774;800;11;4;10;2;9;6;8;1;9;8;94955;1255;1254;1222;1221;1497;12;8;12;8;12;6;12;7;12;9;-133;-262;-293;-447;-697;1166;1166;178;;;201;786;172;55;997;1166;3719;380;11;0;1167;1079;88;786;31;11;2552;2406;146;1128;1434;1757;507;222
