name,lat,lon
г.Ижевск,56.852676,53.206900
Индустриальный район,56.898082,53.241260
Ленинский район,56.819824,53.111544
Октябрьский район,56.909726,53.165137
Первомайский район,56.809536,53.263098
Устиновский район,56.885338,53.298780
г.Воткинск,57.051811,53.987401
г.Глазов,58.140801,52.674253
г.Можга,56.442807,52.213839
г.Сарапул,56.461626,53.803678
Алнашский,56.155107,52.529813
Балезинский,58.074717,53.207448
Вавожский,56.763549,51.802132
Воткинский,56.904585,53.924950
Глазовский,58.192615,52.715584
Граховский,56.062791,51.964647
Дебесский,57.630785,53.803318
Завьяловский,56.736987,53.339590
Игринский,57.510796,53.066844
Камбарский,56.370279,54.158126
Каракулинский,56.077513,53.691990
Кезский,58.014383,53.708923
Кизнерский,56.363279,51.591154
Киясовский,56.285868,53.184217
Красногорский,57.659705,52.372311
Малопургинский,56.589874,53.000368
Можгинский,56.486022,52.298434
Сарапульский,56.394625,53.529063
Селтинский,57.350806,51.978615
Сюмсинский,57.166691,51.480787
Увинский,56.989346,52.350841
Шарканский,57.336275,53.840086
Юкаменский,57.913950,52.182084
Якшур-Бодьинский,57.172703,53.075512
Ярский,58.254417,52.074582
